category,question ,answer,bonus,final_trivia,double_jeopardy
Geography,"According to estimates by the Brookings Institution, Pricewaterhouse Cooper, and McKinsey, what city, first founded as a fishing village in the late twelfth century, has the largest GDP in the Eastern Hemisphere? It also has the largest in the world.","Toyko - The city's GDP estimates range from $1.48-2 trillion, giving it a small edge over New York City in all estimates. there is a large gap to city #3 which differs between estimates. London and Los Angeles are in the top five of all three, along with either Seoul, Paris, or Chicago.",,TRUE,
Art & Literature,"Horatio Hornblower, a Naval officer during the Napoleonic Wars and protagonist of a 12-book series, including ""A Ship of the Line"" and ""Flying Colours"", was created by what English novelist who also wrote ""The African Queen"", the basis for the 1951 film?",C.S. Forester,,TRUE,
History,What year was the social giant Facebook founded?,2004,,,
History,In what year was Wikipedia officially launched?,2001,,,
History,Montezuma was the emperor of which ancient society?,Aztecs,,,
History,"In 1983, the first Disney theme park built outside the US opened in what country?",Japan,,,
History,What is the oldest continuously inhabited city in the world?,Damascus,,,
History,"What are the four permanent, non-US members of the United Nations Security Council?","China, Russia, UK, France",,,
History,"What country's transcontinental railway was finally finished on November 7, 1885?",Canada - usa 1969,,,
History,"Before being hanged, whose last words were ""I only regret that I have but one life to lose for my country""?",Nathan Hale -USA Spy,TRUE,,
Food & Beverage,"The meat pie, Tourtiere, originated in which country?",Canada,,,
Food & Beverage,What brand of whisky was created in 1939 Queen of England's visit to Canada?,Crown Royal,,,
Food & Beverage,What traditionally tops the meat in a shepherd's pie?,Mashed potatoes,,,
Food & Beverage,Sapporo beer was first brewed in which country?,Japan,,,
Food & Beverage,What animal has been called the “poor man’s cow”?,goat,,,
Food & Beverage,What type of alcohol is typically used to make a mint julep?,"Bourbon - bourbon, sugar, water, crushed or shaved ice, and fresh mint",,,
Food & Beverage,"What is the only pasta to eat for good luck on New Years Day, according to Sicilian tradition?",Lasagna,,,
Food & Beverage,What bulb vegetable is traditionally worn on Saint David's Day? Welsh - march 1,Leek,TRUE,,
Not So Common Sense,Which black widow spider sex is venomous to humans?,female,,,
Not So Common Sense,"""Absolute zero"" is equal to zero degrees on which temperature scale?",Kelvin,,,
Not So Common Sense,Which cluster of stars is also known as the Seven Sisters?,The Plaedies,,,
Not So Common Sense,"How many calories must you burn to lose one pound? 3000, 3500, 4000","3,500",,,
Not So Common Sense,What is the plastic piece at the end of a shoelace called?,Aglet,,,
Not So Common Sense,What is the common two word name for Yucca Brevifolia?,Joshua Tree,,,
Not So Common Sense,What is the fear of one's own fears known as?,Phobophobia,,,
Not So Common Sense,The tuxedo got its name from what?,A small town in new york - tuxedo park (tuxedo club),TRUE,,
History,"What accomplished anatomist, astronomer, and mathematician is one of the most highly acclaimed architects in English history and includes among his works 52 London churches rebuilt after the Great Fire in 1666 including St. Paul's Cathedral?",Christopher Wren,,TRUE,
Art & Literature,"What word, from the French for ""to untie"", originally derived from the Latin root for ""knot"", is defined as the final outcome of a literary work, or the outcome of a complex sequence of events? Conflicts are resolved, returning the characters to a state of normalcy.",denouement,,TRUE,
Science,"Blackbody radiation, also known as black hole evaporation, predicted to be released by black holes due to quantum effects near the event horizon, is more commonly known by what name in honor of the theoretical physicist who predicted its existence in 1974?",Hawking Radiation,,TRUE,
History,1885 was the year the first skyscraper was built in what US City?,Chicago,,,
History,Peter the Great is considered the founding father of what country?,Russia,,,
History,Who succeeded Tom Brokaw as anchor on NBC’s Nightly News in 2004?,Brian Williams,,,
History,What US state was first to legalize same-sex marriage?,Mass,,,
History,What were slaves called in ancient Sparta?,Helots,,,
History,"What Danish peninsula lent its name to the largest naval battle of World War I between the British Royal Navy and the Imperial German Navy with a total of over 250 ships and over 8,000 casualties?",Battle of Jutland,,,
History,"Formerly known as Standard Oil, what petroleum company merged with Exxon in 1999?",Mobil,,,
History,During WWII the German Army used the Fischer-Tropsch process to synthetically produce what?,Deisel Fuel,TRUE,,
Food & Beverage,What is the alternative name of green onions?,Scallions,,,
Food & Beverage,What country does the cappuccino originate from?,Italy,,,
Food & Beverage,What cut of beef comes from between the neck and the shoulder blade?,Chuck,,,
Food & Beverage,"According to Toucan Sam, what should you always follow to find Froot Loops?",your nose,,,
Food & Beverage,How many spices make up allspice?,One - Pimento,,,
Food & Beverage,What's the meat in McDonald's original recipe for Egg McMuffins?,Canadian Bacon,,,
Food & Beverage,What meat is a Wiener Schnitzel traditionally made from?,Veal - baby cow,,,
Food & Beverage,What American brewery merged with the Canadian brewery Molson in 2005 to become one of the largest in the world?,Coors,TRUE,,
Not So Common Sense,"In the card game Bridge, what is considered the highest of the four suits?",Spades,,,
Not So Common Sense,How long is one furlong?,"1/8th Mile, 220 yrds, 660 ft, 201 m",,,
Not So Common Sense,How many enemy planes must a pilot shoot down to be called an ace?,Five,,,
Not So Common Sense,What type of a tree killed Jackson Pollock after he crashed into it drunk driving in 1956 at age 44?,Oak,,,
Not So Common Sense,What is Pokemon and abrreviation for?,Pocket Monster,,,
"Not So Common Sense,Language",Which English word is a combination of the first 2 letters of the Greek alphabet?,Alphabet,,,
Not So Common Sense,What is a Murphy Bed?,Foldaway bed,,,
Not So Common Sense,Which commemorative US state quarter depicts salmon leaping in front of a mountain on its reverse side?,Washington,TRUE,,
History,"What is the name for the four laws enacted in 1798 which made it harder for immigrants to become citizens, allowed imprisonment of non-citizens deemed dangerous, and criminalized making false statements critical of the federal government? A revised version is still in effect today.",The Alien and Sedition acts,,TRUE,
Geography,"In 1974 the Danish environmental ministry created the world's largest national park, at nearly 375,000 square miles, with an area nearly 1.5x the size of Texas, in order to govern a portion of what region? The permanant population of the park is zero.",China,,TRUE,
Science,"To date the United States has sent nine missions to Mars, eight of which landed successfully, and four of which had rovers which explored the Martian surface. Achieving the feat on July 4, 1997, what was the first NASA rover to land on Mars?",Sojourner - temporarily inhabit,,TRUE,
History,In 1936 what Palace was destroyed by fire?,The Crystal Palace,,,
History,Who was the first Holy Roman Emperor?,Charlemagne,,,
History,"When first founded by Benjamin Franklin, what was the job of the ""bucket brigade""?",To Put out fires,,,
History,Molotov cocktails were first used by what country after the Soviets invaded it in 1939?,Finland,,,
History,What U.S. president signed the bill that began Medicaid benefits?,LBJ,,,
History,At what Ohio university were four students shot to death during a 1970 anti-war demonstration?,Kent State,,,
History,Who is credited with inventing the V-2 rocket for Nazi Germany and later the Saturn V rocket for the United States?,Wernher von Braun,,,
History,"What bridge, which started construction in 1896 as the East River Bridge with Leffert Buck as engineer and Henry Hornbostel as architect, was the second bridge to cross New York City's East River? It was completed in 1903.",Williamsburg bridge - 1st was brooklyn and then manhattan,TRUE,,
Food & Beverage,"What is the common name for the fruit known as ""Citrus grandis""?",Grapefruit,,,
Food & Beverage,"Shiitake, Enoki, Button, Porcini are all types of what?",Mushrooms,,,
Food & Beverage,"What American beer has been long promoted as the ""King of Beers""?",Budweiser,,,
Food & Beverage,What kind of fruit juice is used to mix a Polish Martini?,Apple Juice,,,
Food & Beverage,In which decade was Tupperware first introduced to the market? 1940s 1950s or 1960s,1940s,,,
Food & Beverage,What country produces Angostura Bitters?,Trinidad and Tobago,,,
Food & Beverage,Goitre is mostly caused by the lack of what element (mineral) in the diet?,Iodine,,,
Food & Beverage,"What is the name of the chemical reaction in cooking that results in browing of a food.  It is a non-enzymatic reaction between an amino acid and a reducing sugar, usually requiring the addition of heat.",Maillard Reaction,TRUE,,
Not So Common Sense,"What precious metal did alchemists call ""luna""?",Silver,,,
Not So Common Sense,What is the largest muscle in the human body?,Gluteus Maximus ,,,
Not So Common Sense,"What type of insect is a ""weevil""?",Beetle ,,,
Not So Common Sense,What subatomic particle determines isotope?,Neutron,,,
Not So Common Sense,What are the two different chamber types of the heart?,Atrium and Ventricle,,,TRUE
Not So Common Sense,"What inert gas gets trapped in the blood when a diver gets ""the bends""?",Nitrogen,,,
Not So Common Sense,"Amirillo, Texas is home to the US' only nuclear what?",assembly and disassembly site,,,
Not So Common Sense,When determining the value of a diamond what are 3 of the 4 C's used in the diamond grading process?,"Cut, Clarity, Color, Carat",TRUE,,
Chemistry,"What process, which was first coined by Marcellin Berthelot from the Greek roots for ""within"" and ""hot"", is one in which energy, typically heat, is required or absorbed from surroundings? Examples include dissolving salt in water or melting ice cubes.",Endothermic Process,,TRUE,
Geography,"The Three Gorges Dam, with 22.5 gigawatts of generation capacity, has more capacity than any other power plant in the world. It also reduces the potential for floods downstream. In what country will you find this hydroelectric power plant?",China,,TRUE,
Art & Literature,"""Apocalypse Now"" follows Captain Willard on his hunt for Colonel Kurtz during the Vietnam War. It is based on 1899's ""Heart of Darkness"", which also featured Kurtz, but had a different main character. Who was searching for Kurtz in the original work?",Charles Marlow,,TRUE,
History,Achilles' heel was the result of him being dipped from his ankle in what mythical river?,The Styx,,,
History,What newspaper was founded in 1889 by Charles H. Dow and Edward Jones and is now the 5th most circulated newspaper in the US?,Wall Street Journal,,,
History,What was the first living creature to go into orbit in November 1957?,a Dog,,,
History,"In 1848, what current US state was ceded to the US from Mexico?",California,,,
History,Which Beethoven symphony became associated with victory in WWII?,the 5th,,,
History,Who is generally regarded as the inventor of the internal combustion automobile with a reliable 2-stroke engine?,Karl Benz,,,
History,"In 2011 the Standard & Poor credit rating agency reduced the United States' debt rating from AAA to AA+. There are currently only two companies that have kept a AAA rating, meaning that their debt is considered safer than Treasury Bonds. Who are they?","Microsoft, Johnson and Johnson",,,TRUE
History,"According to legend, what medieval fortification located in North Cornwall and owned by Charles, Prince of Wales, has a long association with legends related to King Arthur and has been considered his birthplace since the 12th century?",Tintagel Castle,TRUE,,
Food & Beverage,"A Kamikaze cocktail contains triple sec, lime juice and what?",Vodka,,,
Food & Beverage,What type of berry was once believed to cause birthmarks when eaten by pregnant women?,Strawberry,,,
Food & Beverage,Approximately how much more beer would you get in a pint served in the UK compared to one served in the US?,100ml - 1/2 cup - 3.4 oz,,,
Food & Beverage,What is the pure spirit distilled from wine?,Brandy,,,
Food & Beverage,Hawaii is the only US state to grow what?,Pinapples,,,
Food & Beverage,What is the largest cultivated crop in the United States?,Corn,,,
Food & Beverage,Irish coffee is made with what type of alcohol?,Whiskey,,,
Food & Beverage,"What is the name given to the dish of dates, or prunes, wrapped in bacon?",Devils on Horseback,TRUE,,
Not So Common Sense,What is non-rhyming poetry called?,Blank Verse,,,
Not So Common Sense,"According to the novel, Who was marooned on his remote island for 27 years? (Friday)",Robinson Crusoe,,,
Not So Common Sense,Kandor is the former capital city of what fictional planet?,Krypton,,,
Not So Common Sense,What was the name of Sherlock Holmes' intelligent brother?,Mycroft Holmes,,,
Not So Common Sense,"In 1939 classic ""The Wizard of Oz"", what was the lion in search of?",Courage,,,
Not So Common Sense,Juventas was the Roman goddess of what?,Youth,,,
Not So Common Sense,"Who was awarded the 2016 Nobel Prize for Literature ""for having created new poetic expressions within the great American song tradition.""?",Bob Dylan,,,
Not So Common Sense,"What famous composer composed the ""Brandenburg Concertos""?",Bach,TRUE,,
Biology,"The taxonomic order Lagomorpha, whose members have four incisors in their upper jaw and are almost strictly herbivorous, are made up of what animals, one of the top ten pets in the United States according to the American Veterinary Medical Association?",Rabbits and Hares,,TRUE,
Geography,"The Pan-American highway extends from the southern tip of South America to Prudhoe Bay, Alaska. It can be driven end-to-end except for a ~60-mile section which was never completed. What is the name of the uncompleted section?",The Darien Gap,,TRUE,
History,"What is the common name for the military organization, powerful during the Middle Ages, officially named ""Poor Fellow-Soldiers of Christ and of the Temple of Solomon""? They were founded in 1119, recognized by a papal bull in 1139, and active until 1312.",Kinghts Templar,,TRUE,
History,The USS Arizona Memorial commemorates the victims of what event?,Pearl Harbor,,,
History,Who was the first British monarch to live in Buckingham Palace?,Queen Victoria,,,
History,"Used to complete the first transcontinental railway, the last spike was made of what material?",Gold,,,
History,"Which historic figure is famous for having said, ""Give Me Liberty or Give Me Death""?",Patrick Henry,,,
History,The image of Uncle Sam was first used during what war?,War of 1812,,,
History,What ship was commanded by William Bligh?  The ship was eventually commandeered my mutineers.,HMS Bounty,,,
"History,Presidents","What 2 US Presidents both died on July 4th, 1826?","Jefferson, John Adams",,,TRUE
"History,Presidents",What was U.S. President Wilson's first name?,Thomas (woodrow is middle name),TRUE,,
Food & Beverage,What is the name for the family of plants including the peanut and soybean?,legume,,,
Food & Beverage,"What tart fruit has a sweet variety called ""Meyer""?",Lemon,,,
Food & Beverage,What fruit is a hybrid of the mandarin orange and the grapefruit?,Tangelo,,,
Food & Beverage,"What vegetable gets its name from the Latin word for ""branch""?",Broccoli,,,
Food & Beverage,What fruit comes in Chubby Gray and Jubilee variety?,Watermelon,,,
Food & Beverage,"What type of food is ""Limburger""?",cheese,,,
Food & Beverage,How is a Long black different from an Americano?,"The espresso is poured on top of the hot water, instead of before",,,
Food & Beverage,"Limburger, which is known for its especially strong smell, originated from what modern country?","Germany, Belgium, Netherlands - Liege Province",TRUE,,
Not So Common Sense,What is measured in Amperes?,Electric Current,,,
Not So Common Sense,What was the name given to the space missions that took place between the Mercury and Apollo missions?,Gemini,,,
Not So Common Sense,With what is charcoal and saltpeter mixed to make gunpowder?,Sulfur,,,
Not So Common Sense,What color is produced by the complete absorption of light rays?,Black,,,
Not So Common Sense,"What is the common name for iron oxide, which appears after iron has been exposed to air and water?",Rust,,,
Not So Common Sense,What is the only metal that is liquid at room temperature?,Mercury,,,
Not So Common Sense,What word describes the amount of light allowed to pass through a camera lens?,Aperature,,,
Not So Common Sense,"Triton, first discovered on October 10, 1846, by English astronomer William Lassell, is the largest moon orbiting what planet? It is the only large moon in the Solar System with a retrograde orbit, an orbit in the direction opposite to its planet's rotation.",Neptune,TRUE,,
Geography,"At 8,891 kilometers (5,525 miles), what border, which sees over 100 million crossings per year, is the world's longest shared international boundary? The border includes 119 bridges, 13 ferry crossings, 39 railroad crossings, and 6 unstaffed road crossings.",US-CANADA,,TRUE,
Technology,"What game, whose first version was released on June 6, 1984 while its designer was working for the Dorodnitsyn Computing Centre of the Academy of Science of the Soviet Union, has shipped 170 million units making it the best-selling game of all time?",Tetris,,TRUE,
"History,Art & Literature","The Bhagavad Gita, a 700-verse scripture, is part of what Hindu epic of 200,000 verses that tells the story of the Kurukshetra War and the fates of the Kaurava and the Pāṇḍava princes? It is the longest epic poem known at nearly 10x the ""Illiad"" and ""Odyssey"" combined.",Mahabharata,,TRUE,
History,What is the best-known invention of Nobel Prize founder Alfred Nobel?,Dynamite,,,
History,What was the first country to use a public monorail system? (1821),United Kingdom ,,,
"History,Presidents",Which U.S. President signed the National Aeronautics and Space Act establishing NASA?,Dwight D. Eisenhower,,,
History,"In 1975, what modern marvel re-opened after an 8 year closure?",Suez Canal,,,
History,Which country saw the Mau Mau Uprising from 1952-1960?,Kenya,,,
History,Who was the director of the FBI from 1924 to 1972?,J. Edgar Hoover,,,
History,Where was Ben Franklin born?,"Boston, Massachusetts",,,
"History,Presidents",What was the name of Franklin Roosevelt's longtime supposed mistress?,Lucy Mercer,TRUE,,
Food & Beverage,What is considered the queen of fruits?,Mango,,,
Food & Beverage,What is the name for a gin martini garnished with a pickled onion instead of an olive?,Gibson,,,
Food & Beverage,"According to Pliny the Elder, we get the word Salary from Roman practice of paying soldiers in what?",Salt,,,
Food & Beverage,The most traditional Greek feta cheese is made from what animal's milk?,Sheep,,,
Food & Beverage,What is champagne substitute is used to turn a “Black Velvet” cocktail into a “Poor Man’s Black Velvet” cocktail?,Cider,,,
Food & Beverage,"What type of food is ""Limburger""?",cheese,,,
Food & Beverage,What fruits are fermented to make Perry?,Pears,,,
Food & Beverage,"In a Cortado or cappucino, what is the main purpose of the milk?",reduce acidity of coffee,TRUE,,
Not So Common Sense,What is another name for the Spring Solstice?,Vernal Equinox,,,
Not So Common Sense,Which real life person took a name meaning Man of Steel?,Joseph Stalin,,,
"Not So Common Sense,Presidents",Who was US President Ronald Reagan's first wife?,Jane Wyman,,,
Not So Common Sense,From what animal do we get fleece?,Sheep,,,
Not So Common Sense,Which word in computing is used to describe half of a byte?,Nibble,,,
Not So Common Sense,What is the name for the type of scissors which produce a zig-zag cut when cutting fabric?,Pinking shears,,,
Not So Common Sense,James Hunt was disqualified after winning which 1976 Grand Prix?,British,,,
Not So Common Sense,What are the names of a one and two humped camel respectively?,"Dromedary Camel, Bactrian Camel",TRUE,,
Science,"In the Standard Model of Elementary Particles, one of the major classes of sub-atomic particles are fermions, which include quarks and their various flavors, as well as what other particle type which includes electrons, muons, taus, and various types of neutrinos?",Leptons,,TRUE,
"History,Presidents","Following the resignation of President Juan Isidro Jimenes Pereyra in 1916, what nearby nation did Woodrow Wilson order marines to occupy in order to maintain stability? The U.S. government's rule ended in October 1922 and elections were held in March 1924.",Dominican Republic,,TRUE,
"Biology,Medicine","What fruit, native to Asia and long used in traditional Asian cuisine, is the fruit of either Lycium barbarum or Lycium chinense, two closely related species of boxthorn in the nightshade family? Since about 2000, it has become common in the West as an alternative medicine and superfood.",Gogi Berry,,TRUE,
History,Who was the famous teacher of Socrates?,Plato,,,
History,In what year was the Hubble telescope launched into orbit?,1990,,,
History,"What company, founded in 1885, is the oldest telecommunications company in the US?",AT&T,,,
History,What was the name of the plane that dropped the atomic bomb on Hiroshima?,Enola Gay,,,
History,What Shakespearean king was actually king of Scotland for 17 years in the 11th Century?,Macbeth,,,
History,"What wiped out Napoleon's Caribbean troops, leading him to scrap plans to conquer the New World?",Yellow Fever,,,
History,Which two public figures were assassinated in the United States in 1968?,"MLK, Robert Kennedy",,,TRUE
History,"What was the Allie's code name for the ""D-Day"" invasion of Normandy?",Operation Overlord,TRUE,,
Food & Beverage,What nuts are used to make a Satay sauce - primarily used in asian cuisine?,Peanuts,,,
Food & Beverage,What is an Affogato?,Ice cream + Espresso,,,
Food & Beverage,What is the name of the cup used by Christ at the last supper?,The Holy Grail,,,
Food & Beverage,"Which word, taken from the French, translates literally as ""rotten pot""?",Potpourri,,,
Food & Beverage,What country has the highest consumption of chocolate per capita?,Switzerland,,,
Food & Beverage,"How many milliliters is a teaspoon? 1mL, 5mL, 10mL",5 mL,,,
Food & Beverage,"What is the only bonus item, that dances around the maze, Ms. Pac-Man can eat that is not a type of fruit?",Pretzel,,,
Food & Beverage,"What does the word ""sushi"" literally translate to?",Rice - Sashimi is raw fish,TRUE,,
Not So Common Sense,"Which Latin word is used to express the meaning ""word for word""?",Verbatim,,,
Not So Common Sense,What type of shop did the Wright Brothers own before devoting their time to flight?,Bike Shop,,,
Not So Common Sense,What is the cap on the fire hydrant called?,bonnet,,,
Not So Common Sense,How many rings are there on a five-zone archery target?,Four,,,
Not So Common Sense,Which two fruits are an anagram of each other?,Lemon and Melon,,,TRUE
Not So Common Sense,What is the name for Argentinean cowboys?,Gauchos,,,
Not So Common Sense,What 3 word phrase is written on Martin Luther King's gravestone?,Free at Last,,,
Not So Common Sense,What are the three yellow properties on the standards Monopoly board?,"Marvin Gardens, Atlantic Ave., Venitor Ave.",TRUE,,
Geography,"Lake Titicaca, the highest commercially navigable lake in the world and the largest lake in South America, can be found on the border of which two nations? It is located in the Cordillera Central along with some of the highest spots in the Americas.",Peru and Bolivia,,TRUE,
History,"What British ruler, King of Wessex from 871 to 886, won a decisive victory in the Battle of Edington in 878? His rule as King of the Anglo-Saxons from circa 886 through his death in 899 represents the start of the first unbroken line of kings to rule the whole of England.",Alfred the Great,,TRUE,
Art & Literature,"What influential author of African-American literature and central figure of the Harlem Renaissance, whose most well-known work is the 1937 novel ""Their Eyes Were Watching God"", was also an anthropologist who published research on Haitian voodoo?",Zora Neale Hurston,,TRUE,
History,Which amendment to the US Constitution deals with Searches and seizures?,4th,,,
"History,Presidents",Who was the first US President to be on a coin?,Lincoln,,,
History,"In 2005, Bhutan became the first country to entirely ban what?",tobacco,,,
"History,Presidents",What farm animal did George Washington introduce to the US?,"The Mule (M donkey, F Horse)",,,
History,The Battle of Bunker Hill occurred during what war?,American Revolutionary,,,
"History,Presidents",Who was the first Boy Scout to become a US president?,JFK,,,
History,How was the country of Belize known prior to 1973?,British Honduras,,,
History,"When their terms are summed, which of the following Presidential pairs served the longest: Andrew Johnson & Lyndon Johnson, William Henry Harrison & Benjamin Harrison, John Adams & John Quincy Adams, George H. W. Bush & George W. Bush?",Bushes,TRUE,,
Food & Beverage,"Introduced in 1892 by wholesale grocer Joel Owsley Cheek, and named for a now-defunct Hotel in Nashville, Tennessee (its first major customer), what American brand uses the registered trademark ""Good to the last drop.""?",Maxwell House,,,
Food & Beverage,The Queensland nut is another name for what nut?,Macadamia Nut,,,
Food & Beverage,In the game Ms. Pac-Man eating what fruit was worth 5000 points?,Banana,,,
Food & Beverage,"In Japanese, what kind of common fish is ""maguro""?",Tuna,,,
Food & Beverage,What spice is often considered as the most expensive one by weight?,Saffron,,,
Food & Beverage,Eclairs are said to have originated in which country?,France,,,
Food & Beverage,What are the two fruit juices in a cosmopolitan?,Cranberry and Lime,,,TRUE
Food & Beverage,The cobnut is the fruit of what tree?,Hazel,TRUE,,
Not So Common Sense,What element is combined with iron to become steel?,carbon,,,
Not So Common Sense,What is the only breed of cat that does not have retractable claws?,Cheetah,,,
Not So Common Sense,"What creates cirques, coombs, and corries?",glaciers,,,
Not So Common Sense,What does FM stand for?,Frequency Modulation,,,
Not So Common Sense,What is Nitrous Oxide more commonly known as?,Laughing Gas,,,
Not So Common Sense,What birds are traditionally used as gas detectors in coal mines?,Canaries,,,
Not So Common Sense,"What number is indicated by the Roman numeral ""D""?",500,,,
Not So Common Sense,What does uranium become when it has lost all of its radioactivity?,Lead,TRUE,,
Technology,"What type of digital display, found in phones, gaming consoles, and television screens, is an emissive electroluminescent layer of an organic compound that emits light in response to an electric current and works without a backlight? Apple introduced this tech to their lineup in the iPhone X.",organic light-emitting diode (OLED),,TRUE,
History,"What French mathematician, who is given credit for early developments that led to infinitesimal calculus, scribbled a note in the margin of his copy of ""Arithmetica"" regarding a problem he could prove, but which would not fit within the space of the margin? last theorem - pathagoreom therom - hardest proof in math history (good will hunting)",Fermat,,TRUE,
Art & Literature,"What novel, published as a serial in 1849–50, follows events in Charles Dickens' own life and is often considered a veiled autobiography? In the preface to the 1867 edition, Dickens referred to himself as a ""fond parent"" and the novel as his ""favourite child"".",David Copperfield,,TRUE,
History,The original Legoland opened in which country in 1968?,Denmark,,,
History,What was astronaut Edwin Eugene Aldrin Jr.'s nickname?,Buzz,,,
History,In which decade was the Rubik's Cube invented?,1970s,,,
History,In 1938 _______and his team finished the design of the VW Beetle.,Ferdinand Porsche,,,
History,What was the real last name of American folk hero Johnny Appleseed?,Chapman,,,
History,"In 1930, Jacob Schick received a patent for what hygenic invention?",First Electric Razor,,,
History,"The F-35 Lightning II, a family of single-seat, single-engined, all-weather stealth fighter jets was used for the first time in combat last year and has a projected service life through 2070. What company makes the F-35?",Lockhead Martin,,,
History,"When visiting Las Vegas, you fly into the McCarran International Airport and likely spend most of your time on the Strip, not in Las Vegas but in what unincorporated Nevada town adjacent to the city of Las Vegas?",Paradise,TRUE,,
Food & Beverage,"What company originally owned the name ""Saltine"" before losing it to trademark dilution?",Nabisco,,,
Food & Beverage,Pretzel and potato chip company Snyder's is based out of what Pennsylvania city?,Hanover,,,
Food & Beverage,"What bread's name may come from German words meaning ""devil's fart""?",Pumpernickel,,,
Food & Beverage,"What ""mocktail"" can be mixed from cranberry and grapefruit juice and peach nectar?",Safe sex on the beach,,,
Food & Beverage,What type of food is Fontina?,Cheese,,,
Food & Beverage,What continent does yerba mate originate from?,South America,,,
Food & Beverage,"What do you get when you mix white rum, lime juice, mint and sugar?",Mojito,,,
Food & Beverage,What restaurant chain was the brainchild of Atari founder Nolan Bushnell?,Chuck E Cheeses,TRUE,,
Not So Common Sense,How many tiles does each player pick at the start of a game of Scrabble?,7,,,
Not So Common Sense,In 1953 GM first introduced what iconic sports car?,Corvette,,,
Not So Common Sense,What is a Funambulist?,tight rope walker,,,
Not So Common Sense,How many white stripes are there on the American flag?,6,,,
Not So Common Sense,What is know as a brickfielder?,Hot and dry Southern Australian wind,,,
Not So Common Sense,What is a travelator?,Horizontal escaltor,,,
Not So Common Sense,"What Mexican city with a population of nearly 1 million, located along the US border in the Imperial Valley, is the capital of Baja California and, while still largely agriculture, has become a center of industry?",Mexicali,,,
Not So Common Sense,"What are the ""una corda"", ""sostenuto"", and ""damper""?",Pedals on a piano,TRUE,,
Technology,"What distributed document search and retrieval network protocol, developed in the early 1990s as a pre-cursor to modern search engines, may take its name from the mascot of University at which it was developed?",Gopher Protocol,,TRUE,
"Astronomy,Astrology","What large constellation, commonly represented as a man grasping the snake, is one of thirteen constellations that cross the ecliptic and has therefore been called the ""13th sign of the zodiac""?",Ophiuchus ((oaf-ih-YOU-kus)),,TRUE,
Art & Literature,"What English poet, who lived from 1572-1631, is perhaps best known for his 1609 fourteen-line poem (sonnet), often called Sonnet X from his collection of poems ""Holy Sonnets"", known by its opening words ""Death Be Not Proud""?",John Donne,,TRUE,
History,What christmas decoration was originally made from strands of silver?,Tinsel,,,
History,"In Charles Dickens’ “A Christmas Carol,” what was Mr. Scrooge’s first name?",Ebeneezer,,,
History,What is the highest grossing christmas film of all time?,Home Alone,,,
History,What traditional Christmas decoration is actually a parasitic plant?,Mistletoe,,,
History,"What Christmas-themed ballet premiered in Saint Petersburg, Russia in 1892?",The Nutcracker,,,
History,"According to the folklore of Germany and other countries, what horned figure punishes naughty children at Christmastime?",Krampus,,,
History,What holiday movie sequel includes a cameo by Donald Trump?,Home Alone 2,,,
History,"In the movie “A Christmas Story,” what was the name of the next door neighbors whose dogs ate the Christmas turkey?",The Bumpuses,TRUE,,
Food & Beverage,In which direction should you stir mincemeat for good luck; clockwise or anti-clockwise?,Clockwise,,,
"Food & Beverage,Christmas","What name is given to small sausages wrapped in bacon, a staple at a British Christmas dinner?",Pigs in a blanket,,,
"Food & Beverage,Christmas",What christmas beverage is also known as milkpunch?,Eggnog,,,
"Food & Beverage,Christmas",What is the most popular meal for Christmas in Japan?,KFC,,,
"Food & Beverage,Christmas",What much-reviled Christmas edible is known for its long shelf life?,Fuitcake,,,
"Food & Beverage,Christmas",The red and white costume of Father Christmas was allegedly first introduced by which drinks manufacturer?,Coca-Cola,,,
"Food & Beverage,Christmas","According to legend, what holiday goodies were shaped to resemble a shepherd’s staff, as a way to remind children of the shepherds who visited baby Jesus?",Candy Canes,,,
Food & Beverage,If you take a vacation to the tropics you may find yourself drinking a nice glass of POG by the beach. The O and the G stand for orange and guava. What does the P in POG stand for?,Passion Fruit,TRUE,,
Not So Common Sense,In what month is the Earth closet to the sun?,January,,,
"Not So Common Sense,Christmas","The French word “Noel” is often used around Christmas, but what was its original meaning in Latin?",Birth,,,
"Not So Common Sense,Christmas",In Frosty the Snowman what made him come to life?,Old silk hat,,,
"Not So Common Sense,Christmas",In what country did the custom of putting up a Christmas tree originate?,Germany,,,
"Not So Common Sense,Christmas",Who invented electric Christmas lights?,Thomas Edison,,,
"Not So Common Sense,Christmas",Which of Santa’s reindeer is named after another animal?,Vixen (fox),,,
Not So Common Sense,How many wise men / Magi / kings does the bible say visited the baby Jesus?,None - 3 gifts so we assume,,,
"Not So Common Sense,Christmas",Name Santas 9 reindeer,"Blitzen, Comet, Cupid, Dasher, Prancer, Vixen, Dancer, and Donner, Rudolph",TRUE,,
Language,"What nation sees nearly 8 million people, roughly 25% of its population, speak the indigenous language Quechua? Derived from the main language of the Incan empire, it is the most widely spoken language family of indigenous peoples of the Americas.",Peru,,TRUE,
Geography,"The oceanic pole of inaccessibility is the place in the ocean that is farthest from land. Located in the South Pacific 1,670 miles from the nearest island, what is the name for this point? It is Latin for ""no one"".",Nemo,,TRUE,
"Art & Literature,Harry Potter","The students at Hogwarts are placed into four houses, Gryffindor, Slytherin, Ravenclaw, and Hufflepuff, represented respectively by a lion, a serpent, an eagle, and what other mascot for Hufflepuff?",Badger,,TRUE,
